3;βάφη 2300.0;2300.0;-; -;-;-;-;
4;σκάφες 700.0;700.0;-;  -;-;-;στο ελαιοκομικό μητρώο αναφέρεται ως ρέντες;
5;ρέντες 1200.0;1200.0;-; -;-;-;-;
6;τραχάλα 1300.0;1300.0;-;  -;-;-;στο ελαιοκομικό αναφέρεται ως γαλανές πέτρες, αγοραστηκε απο θεια κωστούλα;
7;τραχάλα 400.0;400.0;-;  -;-;-;στο ελαιοκομικό αναφέρεται ως αγία ειρήνη, αγοραστηκε απο θεια ζηνοβια;
8;τραχάλα 1000.0;1000.0;-;  -;-;-;στο αλαιοκομικό αναφέρεται ως αγία ειρήνη, που έχει ο θειος δημητρης το πηγάδι;
9;τραχάλα 3900.0;3900.0;-; -;-;-;στο ελαιοκομικό αναφέρεται ως κάμπος;
10;σώχορο 500.0;500.0;-; -;-;-;στο ελαιοκομικό αναφέρεται ως λενικά;
11;λενικά 2400.0;2400.0;-; -;-;-;;
12;μικρά μουρέλα 800.0;800.0;-; -;-;-;;
13;λεμετζανά 3700.0;3700.0;-; -;-;-;στο ελαιοκομικό αναφέρεται ως λόυτρα;
14;καλαμουριάς 1000.0;1000.0;-; -;-;-;στο ελαιοκομικό αναφέρεται ως σώπατα;
15;κούσκουρας 2200.0;2200.0;-;  -;-;-;στο ελαιοκομικό αναφέρεται ως άγιος παντελεήμων, πάνω κούσκουρας στο δρόμο;
16;κούσκουρας 900.0;900.0;-;  -;-;-;κουσκουριανή βρυσίδα;
17;κούσκουρας 3200.0;3200.0;-;  -;-;-;κάτω κούσκουρας;
18;κούσκουρας 500.0;500.0;-;  -;-;-;στο πάνω κούσκουρα στο ρυακάκι;
19;ζερβόμυλος 600.0;600.0;-;  -;-;-;αμπελάκι, στο ελαιοκομικό αναφέρεται ως αχλάδα;
20;ζερβόμυλος 2000.0;2000.0;-;  -;-;-;είναι 2 παραπάνω και είναι όλα μικρά, στο ελαιοκομικό αναφέρεται ως αχλάδα;
21;ζερβόμυλος 3200.0;3200.0;-; -;-;-;δέτης;
22;ασπρούγια 4500.0;4500.0;-; -;-;-;;
23;κουρκουνιάκοι 3600.0;3600.0;-; -;-;-;;
24;φυλορυακια 1500.0;1500.0;-;  -;-;-;πηγάδι, στο ελαιοκομικό αναφέρεται ως σελιά;
25;φυλοριάκια 3700.0;3700.0;-; -;-;-;στο ελαιοκομικό αναφέρεται ως σελιά;
26;κάτω λιβάδα 500.0;500.0;-;  -;-;-;είναι δηλωμένα ανάποδα 2 μεγάλες, 4 μικρά;
27;φυλοριλακια 9200.0;9200.0;-;  -;-;-;η πεζούλα είναι δηλωμένη χωριστά 19+142=161;
